,steps,reward
630,123,-283.6247254752443
631,115,-116.55156919666523
632,91,-117.96974628162269
633,118,-37.78199807794033
634,82,-105.57454278935744
635,118,-275.01258810496387
636,90,-126.48549532636329
637,86,-23.207363554567607
638,93,-191.2767511818506
639,100,-177.32173192534668
640,64,-54.50979335781654
641,76,-99.34565658517424
642,67,-92.75232606928182
643,102,-61.24927303529979
644,123,-117.88058864298043
645,109,-139.23533185403588
646,89,-146.8994501555304
647,132,-233.54947118740563
648,104,-104.54685186182351
649,143,-314.04775249018246
650,89,-47.73050870119371
651,87,-47.65187998255012
652,99,-87.09463452695881
653,73,-94.6221419891703
654,119,-137.55376218137462
655,115,-101.47402521674641
656,81,-106.65806598891083
657,108,14.720378338418797
658,81,-94.07710540445439
659,80,-103.11325802231204
660,146,-97.66063517592418
661,110,-144.4084976296591
662,164,-317.36896855671785
663,170,-415.9514397625926
664,130,-140.70454083106367
665,100,-305.99166836477514
666,151,-74.17680559815662
667,67,-141.6517757453893
668,86,-85.78512926293301
669,102,-92.64397743690935
670,89,-57.639937163392965
671,139,-140.1763808020255
672,90,-61.61732697357971
673,88,-102.99287988504439
674,102,-82.79964253668437
675,95,-139.29024454410114
676,127,-207.31493697162807
677,168,-397.82142682521425
678,68,-59.47570530637763
679,106,-55.837453662680815
680,167,-266.0838331108342
681,136,-152.3050857619283
682,131,-113.33856845857116
683,85,-78.50374266695769
684,128,-57.65639895352081
685,183,-79.39666585326592
686,85,-108.37237372255555
687,84,-79.29602458728283
688,81,-26.479375066692356
689,95,-126.14366845585049
690,105,-95.3763515249751
691,102,-95.88662846652116
692,137,-157.21173495494958
693,74,-87.53033503996457
694,94,-104.74482294691013
695,82,-76.25739501450767
696,130,-145.90039414879834
697,137,-35.98263987089071
698,92,-123.22488979878393
699,141,-110.57392117831122
700,84,-113.14226363689907
701,92,-107.23215659981386
702,115,-37.127938498322465
703,132,-125.50629353628567
704,108,-138.19666945895597
705,87,-94.52152541930019
706,90,-91.968682558687
707,119,-167.28092182382125
708,145,-201.5313945481317
709,124,-260.9965305069944
710,93,-240.94672057207154
711,66,-103.37424523046842
712,133,-28.664197859390754
713,131,-92.98275157754027
714,68,-186.78033588849826
715,136,-103.92311589519505
716,74,-74.60123893552355
717,72,-25.574520858356124
718,111,-307.64024813945707
719,115,-24.265559965141918
720,107,-305.3372546029879
721,122,-119.07018789658055
722,138,-125.43425096434967
723,73,-94.78054008785368
724,66,-36.106021662844995
725,89,-183.35084747701725
726,113,-109.57528077379429
727,118,-36.32349930038984
728,149,-264.41193564854933
729,72,-129.12239137781327
730,67,-61.68294432951359
731,104,-117.74984162044278
732,88,-48.83770982620955
733,95,-120.7891504640319
734,151,-49.43464692429568
735,98,-77.1680019993468
736,101,-123.30505705479064
737,117,-118.53970552821404
738,123,-94.52581714761955
739,104,-94.54401732147436
740,93,-79.01805283365229
741,120,-119.59138490043631
742,96,-141.941109440535
743,68,-69.16756475466438
744,140,-92.86210707246738
745,101,-135.77759975576436
746,124,-89.70178995084399
747,79,-62.758731433881756
748,169,-100.53780708458606
749,108,-109.76511358581101
750,109,-190.59231435722148
751,83,-123.15381462948932
752,102,-95.06444161317592
753,106,-89.19988428854734
754,90,-116.39507064600487
755,122,-122.72899063777194
756,95,-110.59314402468345
757,145,-93.14241770187897
758,167,-183.30049846168447
759,69,-46.1767984321029
760,114,-159.9020153048465
761,111,-172.00636095148138
762,116,-165.4558983810955
763,115,-117.1768060062421
764,78,-86.93093557375941
765,147,-108.72132265945336
766,128,-120.4205964813889
767,83,-94.17381047144117
768,102,-303.28559211029597
769,92,-98.68607135728585
770,116,-41.21277569224351
771,96,-92.57769849819961
772,106,11.307028362292527
773,143,-120.01813859590312
774,160,-154.11860362457054
775,140,-121.32190342911859
776,97,-77.46887402994096
777,101,-49.334803677309324
778,120,-249.41795888819033
779,128,-318.4700462006308
780,112,-144.12111273910847
781,121,-183.50652998698575
782,76,-92.39130317621647
783,103,-164.01233113320433
784,77,-95.83577631168544
785,77,-98.87837410951653
786,126,-106.35242084380427
787,95,-99.65591162504698
788,103,-175.78666517847694
789,71,-74.39806047379798
790,103,-57.66962653473455
791,138,-100.47883483106288
792,75,-77.66486535422285
793,74,-70.50663350589969
794,110,8.28055004056597
795,86,-73.43921166258349
796,127,-88.78789738568987
797,87,-127.10565916328682
798,94,-24.42516442455633
799,134,-67.17260512396942
800,91,-97.04401263485326
801,99,-95.17351585715332
802,96,-77.68676011823507
803,138,-77.34957973042684
804,96,-27.85361033607903
805,60,-72.14872774560176
806,137,-118.26810968841016
807,134,-13.902791605348852
808,128,-82.34831292512713
809,78,-70.14237526013753
810,93,-93.47172455941099
811,89,-125.88304731540512
812,142,-111.90509078366868
813,114,-75.29458474159233
814,127,-120.2419653657116
815,95,-79.40260438608237
816,90,-65.87649285212247
817,82,-79.56735625221356
818,77,-77.70694726004432
819,149,-88.85261298061552
820,118,-87.39393779148801
821,78,-107.30639698603315
822,112,-207.83856529718696
823,109,-113.15235675755935
824,109,-144.68799313627125
825,89,-47.426509619870956
826,152,-212.06654491546303
827,122,-262.6176274626557
828,148,-134.75257271873375
829,135,-323.8660241315174
830,98,-106.77982886562829
831,89,-94.12786829918434
832,108,-127.22015508425127
833,107,-127.98777764137913
834,183,-42.04752434538372
835,89,-112.96837501604828
836,151,-98.05051613492797
837,116,-274.435195759142
838,82,-97.78523137153525
839,147,-138.6065497064381
840,141,-207.0987914065338
841,83,-102.76473293729946
842,148,-102.78628100658412
843,90,-57.64091113039699
844,101,-79.03582244493074
845,117,-58.739950577842315
846,184,-114.89519907779385
847,114,-114.65611932720488
848,75,-55.71139427917301
849,180,-255.57872111747497
850,82,-43.011257009001454
851,135,-18.07515916161418
852,76,-169.07224844395205
853,70,-59.101321325129824
854,153,-85.0923780277866
855,114,-64.27811371564161
856,136,-112.6773095736802
857,153,-93.9058981585514
858,147,-200.0973541453543
859,82,-84.30363870634986
860,99,-121.82654693475796
861,91,-75.40762909980597
862,135,-217.20326775615743
863,118,-54.33536889894915
864,107,-90.76429000710289
865,81,-123.65351392694087
866,145,-74.66814263832904
867,123,-159.88909385882096
868,113,-160.8798718010107
869,106,-126.12050844287405
870,122,-51.10166919917917
871,135,-58.7365146156222
872,115,-56.62916514364935
873,167,-159.10295284688874
874,146,-124.69157417740489
875,66,-60.72606196118032
876,101,-99.10510526965726
877,105,-125.12411739536189
878,154,-198.75585137645913
879,106,-69.0175565798771
880,125,-111.90445761449135
881,126,-310.80313153904626
882,74,-89.64292653269843
883,76,-42.40332157428552
884,80,-88.50916077331054
885,131,-196.96943140492357
886,151,-93.28986654074434
887,101,-95.62340943206044
888,116,13.872475505086214
889,126,-60.77940020165358
890,121,-109.70681592382155
891,81,-137.58195526669206
892,139,-58.5471309736368
893,83,-60.02902313773593
894,78,-59.32264417991146
895,116,-320.4046012670394
896,80,-27.812297275474393
897,71,-85.56948288636153
898,113,-144.63486952284444
899,96,-124.28856772051944
900,84,-89.98849100726287
901,95,-100.2417038360343
902,100,-141.31091096801077
903,97,-40.63806734048435
904,163,-169.5019568109646
905,136,-162.15740483834125
906,124,-303.26721734177875
907,108,-82.4209285364947
908,89,-161.26785004344768
909,141,-49.05487589399927
910,84,-86.06227601071856
911,116,-63.20046413801768
912,120,-116.04705715149467
913,97,-85.94283715686534
914,127,-153.43196620271965
915,95,-173.94161632470022
916,117,-86.99735799097829
917,81,-59.139072939825006
918,79,-92.99512753502728
919,90,-132.57426418890674
920,119,-66.17270094093598
921,128,-197.58898051222963
922,105,-96.46355057607742
923,81,-109.4980165500267
924,222,-87.44638434943175
925,161,-136.13116379287408
926,124,-122.54689486446361
927,190,-95.26040006192676
928,91,-57.45856781814684
929,72,-61.452700844456075
930,92,-132.93975770192452
931,184,-63.556191558872264
932,112,-148.23121056288406
933,113,-59.6371898586154
934,151,-53.792948860476486
935,70,-89.63463559075694
936,93,-102.37646911495214
937,97,-66.31997212793998
938,122,-216.623750501397
939,74,-50.90229563487614
940,98,-76.8684439296445
941,142,-126.20575277500683
942,80,-74.34209343505906
943,147,-161.6965196027772
944,112,-106.063061338062
945,127,-105.39299372173825
946,83,-46.28935271349191
947,91,-63.00327796196624
948,174,-21.253020754093228
949,169,-120.76929938395946
950,91,-69.50177768697515
951,111,-76.9462778858114
952,135,-159.4094109545608
953,102,-71.67674637923892
954,107,-73.56314080343489
955,126,-45.67144446851293
956,105,-34.76942796065339
957,109,-39.00411361993987
958,80,-89.57704291500691
959,118,-98.23712642919519
960,126,-226.92994707020472
961,76,-54.11983279955024
962,124,-134.958018321572
963,127,-158.1274144074348
964,83,-112.1203875012967
965,115,-28.23791062242907
966,136,-194.33796787720195
967,118,-36.477401298917954
968,114,-211.60626819575145
969,104,-153.3261399523858
970,71,-70.8459328126901
971,80,-97.32725434507748
972,88,-193.39208007218207
973,166,-335.69269188930366
974,77,-39.52012271672993
975,140,-84.60473537788282
976,157,-214.98909746373727
977,88,-84.60766611027992
978,104,-124.12698393002414
979,75,-79.38590225561093
980,117,-70.68070073822811
981,145,-41.2062502241353
982,153,-244.68644176167268
983,155,-146.38418904607641
984,163,-96.35102646740705
985,211,-74.77625986398616
986,141,-87.59165340097044
987,136,-81.78118603091994
988,162,-145.52038495713626
989,136,-159.9022224130155
990,145,-187.12434617748
991,176,-85.63388007806229
992,121,-250.2427669583977
993,87,-97.0814656933905
994,91,-72.0192458899649
995,77,-87.84642477481434
996,74,-58.98152409576289
997,99,-218.5179048202702
998,162,-52.558300024741825
999,116,-74.21889220757505
1000,150,-160.63341495606903
1001,80,-92.42095973825622
1002,109,-57.303341050490936
1003,86,-59.09811826509241
1004,79,-4.600263544113844
1005,101,-76.25709260470767
1006,85,-66.06444962628572
1007,123,-60.63879757983007
1008,149,-122.40894997986689
1009,140,-86.11212282734427
1010,104,-81.69923280392537
1011,133,-175.3218883445771
1012,122,-99.1825004498967
1013,137,-98.3068629244085
1014,450,66.58498225229758
1015,76,-22.10551525172592
1016,131,-71.43574629412137
1017,98,-0.9965230926624855
1018,189,-225.61885896053548
1019,147,-33.249595715026146
1020,135,-49.6952237036973
1021,85,-93.63984877016685
1022,74,-72.68877144101359
1023,112,-166.8703629770183
1024,171,-147.32825513600892
1025,173,-200.24129735038457
1026,150,-153.6652886368935
1027,111,-41.863877628649405
1028,71,-60.82121548363355
1029,97,-229.63027169476717
1030,75,-74.99119693785767
1031,156,-213.4141601523972
1032,159,-57.57858989062596
1033,88,-79.07431000477686
1034,163,-113.20604032472272
1035,127,-211.62784451102493
1036,135,-75.56369003914314
1037,162,-109.00835183776277
1038,119,-113.84610545190819
1039,117,7.940995706701713
1040,96,-52.334320433770586
1041,146,-106.32173510386691
1042,80,-39.74522080438466
1043,143,-134.89643169230195
1044,103,-99.69307102879087
1045,158,-36.88106459357229
1046,76,-102.74225037424549
1047,149,-195.99867917498412
1048,96,-100.48368204813141
1049,144,-58.54563292359882
1050,138,-30.383672815023843
1051,143,-77.96467477020431
1052,189,-6.121310394029948
1053,147,-188.90276117079773
1054,111,-112.20478518382447
1055,118,-137.98392940718833
1056,169,-136.41275511991807
1057,135,-30.87062503183087
1058,112,-29.35971584599322
1059,206,-92.9303191482254
1060,67,-29.47547912461222
1061,94,-81.0900326263963
1062,122,-70.72302236550556
1063,136,-76.53075676838547
1064,69,-77.08601059959642
1065,122,0.9259223255542111
1066,101,-116.92776075840823
1067,191,-104.23735373055747
1068,93,-91.23863129045989
1069,194,-172.55625387823136
1070,251,-130.41734413879215
